LocalGovernment,Amount,SpendingGroup,SpendingSubgroup,ProjectOverview,TreasuryEligibleUseGroup,TreasuryEligibleUseSubgroup,City_or_County,State
"Durham, NC","$7,317,295",Government Operations Investments,Government Employee Wages Or Hiring,"Eligible public employees received premium pay in the amount of 5% of salary (retroactive from 6/20/20-6/18/2021) and an additional lump sum premium bonus ranging from $1,500 to $1,000 depending on your salary. $1,500 if your salary was equal to or less $50K $1,250 if salary was between $50K and $90K $1,000 if salary was equal to $90K or above.",Premium Pay,Public Sector Employees,Durham,NC
"Dutchess County, NY","$3,000,000",Community Aid,Nonprofit Support,"Dutchess County is investing in youth-serving organizations that promote learning, art enrichment, and sports activities. This grant program enhances and provides opportunities for children to learn, play, and create while filling an educational, financial, social, and emotional void resulting from the quarantine and stay at home policies implemented to deal with the COVID-19 pandemic.",Negative Economic Impacts,Aid to Nonprofit Organizations,Dutchess County,NY
"Dutchess County, NY","$3,000,000",Community Aid,Nonprofit Support,This one-time funding will be used to further support our not-for-profit agencies in the community who are providing programs and services to residents who are most in need as a result of the pandemic.,Negative Economic Impacts,Aid to Nonprofit Organizations,Dutchess County,NY
"Dutchess County, NY","$10,000,000",Community Aid,Youth And Family Support,The County has committed ARP funds ($25 million total commitment) to building a Youth Opportunity Center that can bring evidence based programs and services together in one space to address health disparities and the social determinants of health as well as educational disparities in the City of Poughkeepsie and throughout Dutchess County.,Services to Disproportionately Impacted Communities,Healthy Childhood Environments: Other,Dutchess County,NY
"Dutchess County, NY","$100,000",Community Aid,Youth And Family Support,"This funding will provide a variety of summer youth programming to help kids catch up and prepare for the coming school year. Eight programs provide educational experiences to prevent summer learning loss as well as summer enrichment to provide creative recreation, physical and other activities that build academic skills.",Negative Economic Impacts,Aid to Nonprofit Organizations,Dutchess County,NY
"Dutchess County, NY","$375,000",Economic And Workforce Development,Economic Development,"This funding will provide direct assistance to forty-five small businesses, a majority of which are women or minority and veteran owned, through a micro marketing program.",Negative Economic Impacts,Small Business Economic Assistance (General),Dutchess County,NY
"Dutchess County, NY","$350,000",Economic And Workforce Development,Other Economic And Workforce Development,This funding will be directed to the Build Now-NY program’s shovel ready certification for the building development areas identified within the Hudson Valley Regional Airport Layout Plan.,Negative Economic Impacts,Aid to Other Impacted Industries,Dutchess County,NY
"Dutchess County, NY","$1,125,000",Economic And Workforce Development,Workforce Development,"Partner with DCC and the Dutchess County WIB to develop 10,000 sq ft of space adjacent to the southern DCC campus for a regional skills training center.",Negative Economic Impacts,Aid to Other Impacted Industries,Dutchess County,NY
"Dutchess County, NY","$150,000",Economic And Workforce Development,Workforce Development,"This program will provide displaced workers and underserved communities with skills training based on local industry skills gaps for retention, recruitment, and promotion. It will also focus on connecting unemployed and low-income workers with good jobs and careers.",Negative Economic Impacts,"Aid to Tourism, Travel,or Hospitality",Dutchess County,NY
"Dutchess County, NY","$1,503,000",Government Operations Investments,Government Employee Wages Or Hiring,"Premium pay of up to $13/per hour for a maximum of $1,000 will be given to all employees in Dutchess County Government.",Premium Pay,Public Sector Employees,Dutchess County,NY
"Dutchess County, NY","$4,997,000",Government Operations Investments,Government Employee Wages Or Hiring,"With the approval of ARP funds, the County has begun filling some of the held positions and plans to continue to fill critical positions in the 2022 Budget using these Federal Funds.",Negative Economic Impacts,Rehiring Public Sector Staff,Dutchess County,NY
"Dutchess County, NY","$6,000,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","Dutchess County will use ARP funds for the development, installation, and deployment of a consolidated two-way radio system.",Public Health,"Other COVID-19 Public Health Expenses (including Communications, Enforcement, Isolation/Quarantine)",Dutchess County,NY
"Dutchess County, NY","$630,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","The County currently owns Dutchess Stadium, which the Hudson Valley Renegades lease from the County located on land owned by the Beacon City School District (BCSD). The County and the BCSD reached an agreement whereby the County will buy the land to replace the current longterm land lease.",Revenue Replacement,Provision of Government Services,Dutchess County,NY
"Dutchess County, NY","$500,000",Government Operations Investments,Other Government Investment,These funds will be used to administer ARPA programs.,Administrative,Administrative Expenses,Dutchess County,NY
"Dutchess County, NY","$6,070,000",Housing,Homelessness,"The county will use ARP funds to develop and build a new clean and efficient facility with amenities to meet basic needs including food service. This facility solution, along with the programming provided by the County, will be evaluated to meet evidence-based programming standards with the goal of reducing the overall homeless population in Dutchess County.",Services to Disproportionately Impacted Communities,Housing Support: Services for Unhoused Persons,Dutchess County,NY
"Dutchess County, NY","$1,000,000",Infrastructure,Broadband,"This effort will identify opportunity in Dutchess County to move toward high-speed services to serve businesses, schools, government, healthcare and the public in an effort to be sure the County is prepared in the event that remote work is once again necessary as well as the tele-medicine services that were and remain critical to serving those in need especially during the height of the pandemic.",Infrastructure,Broadband: Other projects,Dutchess County,NY
